Product,XaaS,Source,,,,,,,
Tenon,Accessibility As A Service,https://tenon.io/,,,,,,,
Run:ai,AI as a Service,https://www.run.ai/guides/machine-learning-in-the-cloud/ai-as-a-service,,,,,,,
Insync AI,AI Chat as a Service,https://www.insyncai.com/,,,,,,,
Constructor.io,Ai-First Search As A Service,http://constructor.io/,,,,,,,
Dell,Apex As A Service,https://www.crn.com/news/cloud/hpe-ceo-antonio-neri-on-dell-s-little-bit-strange-decision-not-to-provide-apex-quarterly-updates#bottom-ribbon,,,,,,,
AgilePoint,Application Platform As A Service,https://agilepoint.com/nx-features/,,,,,,,
Fillr,Autofill As A Service,https://www.linkedin.com/company/fillr?originalSubdomain=au,,,,,,,
Nyckel,Automl As A Service,https://www.nyckel.com/,,,,,,,
Kinetic Data,Backend As A Service,https://kineticdata.com/complex-workflow/,,,,,,,
8base,Backend As A Service,8base.com,,,,,,,
solarisBank,Banking As A Service,https://www.solarisbank.com/en/about/,,,,,,,
Railsbank,Banking As A Service,https://www.forbes.com/sites/lawrencewintermeyer/2020/12/10/railsbank-rocks-the-banking-as-a-service-sector-with-big-us-plans/?sh=744065cd4db4,,,,,,,
Bryter,Building As A Service,https://bryter.io/services/building-as-a-service/,,,,,,,
The Road,Business Development As A Service,https://www.theroadtlv.com/business-development,,,,,,,
EWARDS,Business Intelligence As A Service,https://prism.myewards.com/,,,,,,,
VMWare,Cloud as a Service,https://www.vmware.com/topics/cloud-as-a-service,,,,,,,
Vizologi,Cognition As A Service,https://vizologi.com,,,,,,,
OCA,Communication Platform As A Service,https://www.cloudexpoasia.com/exhibitor-press-releases/oca-indonesia-spreads-services-asia-pacific-market-joining-cloud-expo-asia,,,,,,,
Eseye,Connectivity As A Service,https://www.eseye.com/solutions/,,,,,,,
Enghouse Networks,Contact Center As A Service,https://www.enghousenetworks.com/portfolio/digital-transformation/contact-center-service-provider/,,,,,,,
Kore.ai,Contact Center As A Service,https://kore.ai,,,,,,,
Telenav,Content As A Service,https://www.telenav.com/products/road-intelligence,,,,,,,
Bloomreach,Content As A Service,https://www.bloomreach.com/en/blog/2019/caas-what-is-content-as-a-service,,,,,,,
Altr,Data Access Governance As A Service,https://www.altr.com/,,,,,,,
Altr,Data Access Monitoring As A Service,https://www.altr.com/,,,,,,,
DataSpark,Data As A Service,https://www.dsanalytics.com/products/data-as-a-service,,,,,,,
ZoomInfo,Data As A Service,https://www.zoominfo.com/solutions/data-as-service,,,,,,,
Altr,Data At-Rest Protection As A Service,https://www.altr.com/,,,,,,,
EdgeCase,Data Labeling As A Service,https://www.edgecase.ai,,,,,,,
Hitachi Vantara,Data Protection As A Service,https://www.hitachivantara.com/en-us/products/data-protection.html,,,,,,,
MLDB,Data Science As A Service,https://mldb.ai,,,,,,,
Zepl,Data Science As A Service,https://www.zepl.com/product/,,,,,,,
Altr,Data Security As A Service,https://www.altr.com/,,,,,,,
Sambanova,Dataflow As A Service,https://sambanova.ai/,,,,,,,
QuickBI,Datapipeline As A Service,https://quickbi.io/en/,,,,,,,
Fabric for Deep Learning (FfDL) by IBM,Deep Learning As A Service,https://developer.ibm.com/open/projects/fabric-for-deep-learning-ffdl/,,,,,,,
Kingsmen,Delivery As A Service,https://www.kingsmensoftware.com/,,,,,,,
Nutanix Frame,Desktop As A Service,https://www.nutanix.com/products/frame,,,,,,,
HP,Devices as a Service,https://syndication.inc.hp.com/inpage/content/showcase/us/en/services/device-as-a-service/index.html,,,,,,,
JumpCloud,Directory As A Service,https://jumpcloud.com/press/jumpcloud-introduces-directory-as-a-service,,,,,,,
Flexential,Disaster Recovery as a Service,https://www.flexential.com/products-services/data-protection/disaster-recovery-as-a-service?utm_medium=cpc&utm_source=google&utm_campaign=draas&utm_content=draas-1&utm_id=gs_nb_draas-1&utm_keyword=disaster%20recovery%20as%20a%20service&gad_source=1&gclid=Cj0KCQjw-5y1BhC-ARIsAAM_oKlM3DQ-XBqrt-FNNqvVhNf-_RFaF6Joudxt9QrjrhiYUlYYv3otVzMaAhrkEALw_wcB,,,,,,,
Ally Commerce,Ecommerce As A Service,https://allycommerce.com/,,,,,,,
Searchly,Elasticsearch As A Service,http://www.searchly.com/,,,,,,,
JoyPixels,Emoji As A Service,https://joypixels.com/,,,,,,,
gridX,Energy as a Service,https://www.gridx.ai/knowledge/energy-as-a-service,,,,,,,
Rellify,Enterprise AI as a Service,https://rellify.com/solutions/,,,,,,,
Deloitte,Enterprise Operations as a Service,https://www2.deloitte.com/us/en/pages/operations/topics/operate-enterprise-performance-management-services.html,,,,,,,
ReleaseHub,Environments As A Service,https://releasehub.com,,,,,,,
OneClick,Everything As A Service,https://oneclick-cloud.com/en/platform/,,,,,,,
MuleSoft,Everything As A Service,https://www.mulesoft.com/integration-solutions/api/business-automation,,,,,,,
Onymos,Features As A Service,"https://www.prnewswire.com/news-releases/onymos-introduces-features-as-a-service-for-react-native-development-301772257.html#:~:text=The%20Onymos%20Features%2Das%2Da%2DService%20platform%20is%20a,their%20application%20development%20and%20innovation.",,,,,,,
Igneous,File Analytics As A Service,https://aws.amazon.com/marketplace/pp/B07VBQ164Q,,,,,,,
Barracuda,Firewall as a Service,https://www.barracuda.com/products/network-protection?utm_source=google&utm_medium=search_cpc&utm_campaign=21093836137&utm_adgroup=156388757730&utm_term=faas&utm_position=&utm_matchtype=e&utm_device=c&utm_content=696864008575&_bt=696864008575&_bk=faas&_bm=e&_bn=g&_bg=156388757730&clicktype=&gad_source=1&gclid=Cj0KCQjw-5y1BhC-ARIsAAM_oKmDQGVhOau5BDu5e_oFD5roPcVYOKoRG7unZ8BIGCXYtOfjtnzwskMaAjnOEALw_wcB,,,,,,,
Searchify,Full-Text Search As A Service,https://www.searchify.com,,,,,,,
Cloudflare,Function as a Service,https://www.cloudflare.com/learning/serverless/glossary/function-as-a-service-faas/,,,,,,,
Ultipa,Graph Database As A Service,https://www.ultipa.com/,,,,,,,
Civil Tracker,Ground Control Points As A Service,https://civiltracker.xyz/ground-control-points-as-a-service/,,,,,,,
Okta,Identity As A Service,https://www.okta.com/resources/analyst-research-the-forrester-wave-identity-as-a-service-for-enterprise-q3-2021/?utm_id=aNK4z0000004ChOGAU&utm_campaign=amer_all_all_2021_11_pg14631a1_whyokta_eml&utm_medium=email&utm_source=okta&mkt_tok=ODU1LVFBSC02OTkAAAGBh267r7U9jectTsuwjBLwGWM4pk2C7zqIHt979U0XfrSsUcj20OEc0YFK-3igpfyIJf4qnjBokHtCJdqjR_j_2BUAxDuaVKE8vH2hdrLtMc0tFw,,,,,,,
Fogwing,Industrial Iot Platform As A Service,https://www.fogwing.io/,,,,,,,
Microsoft,Infrastructure as a Service,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary/what-is-iaas,,,,,,,
Analytics Intelligence,Intelligence As A Service,https://www.analyticsintelligence.com/,,,,,,,
MFGx,Intelligent Platform As A Service,https://www.mfgxonline.com/,,,,,,,
BarRaiser,Interview As A Service,https://barraiser.com/interview-as-a-service/,,,,,,,
Qualcomm,IoT as a Service,https://www.qualcomm.com/products/internet-of-things/services-suite,,,,,,,
BindPlane,IT Operations Data Management As A Service,https://bluemedora.com/,,,,,,,
Diffbot,Knowledge as a Service,https://blog.diffbot.com/knowledge-graph-glossary/knowledge-as-a-service/,,,,,,,
Adobe,Location as a Service,https://business.adobe.com/cl/products/experience-platform/location-service.html,,,,,,,
EasyRewardz,Loyalty Program As A Service,https://www.g2.com/products/easyrewardz-lpaas/reviews,,,,,,,
Sixsq,Management Platform As A Service,https://sixsq.com/products-and-services/nuvla-io/overview,,,,,,,
PostEra,Medicinal Chemistry As A Service,https://techcrunch.com/2020/03/17/all-the-companies-from-y-combinators-w20-demo-day-part-iii-hardware-robots-ai-and-developer-tools/,,,,,,,
IONIS,Monitoring as a Service,https://cloud.ionos.com/managed/monitoring-as-a-service,,,,,,,
BindPlane,Monitoring Integration As A Service,https://bluemedora.com/products/bindplane/,,,,,,,
Iron Mountain,New Governance Rules As A Service,https://www.ironmountain.com/digital-transformation/workflow-automation,,,,,,,
Goose,NLP as a Service,https://goose.ai,,,,,,,
Modulr,Payments As A Service,https://www.modulrfinance.com/,,,,,,,
Barracuda,Phone As A Service,https://www.everphone.com/,,,,,,,
Federated Wireless,Private Wireless Connectivity As A Service As A Service,https://www.federatedwireless.com/news/federated-wireless-launches-private-wireless-as-a-service-powered-by-industrys-largest-shared-spectrum-partner-ecosystem/,,,,,,,
Camunda Cloud,Process Automation As A Service,https://camunda.com/blog/category/process-automation-as-a-service/,,,,,,,
OpenAI,Propaganda As A Service,https://venturebeat.com/2021/12/14/propaganda-as-a-service-may-be-on-the-horizon-if-large-language-models-are-abused/,,,,,,,
Sifted,Quantum As A Service,https://sifted.eu/articles/quantum-as-a-service-startups/,,,,,,,
Recombee,Real-Time Recommendation As A Service,https://www.recombee.com/product.html,,,,,,,
Imandra,Reasoning As A Service,https://www.imandra.ai/,,,,,,,
opti9,Resilience As A Service,https://opti9tech.com/resilience-as-a-service-raas/,,,,,,,
GuardForce,Robotics As A Service,https://www.proactiveinvestors.com/companies/news/981333/guardforce-ai-announces-deployment-of-more-than-4-800-robots-in-nine-countries-981333.html,,,,,,,
InVia,Robotics As A Service,https://inviarobotics.com/robotics-as-a-service/,,,,,,,
HPA,Robots As A Service,http://hpa.services/,,,,,,,
Dexterity,Robots As A Service,https://dexterity.ai/,,,,,,,
KnowledgeLake,RPA as a Service,https://www.knowledgelake.com/robotic-process-automation/,,,,,,,
Kryon,Rpa As A Service,https://www.kryonsystems.com/rpa-as-a-service/,,,,,,,
Landscape,Scout As A Service,https://sifted.eu/articles/landscape-vc-scout-platform/,,,,,,,
Sajari,Search As A Service,https://www.sajari.com/solutions/search,,,,,,,
SearchBlox,Searchblox Search As A Service,https://www.searchblox.com/search-as-a-service.html,,,,,,,
Secuvy,Security As A Service,https://secuvy.ai/wp-content/uploads/2021/01/Secuvy_Brochure.pdf,,,,,,,
Flowtrics,Simplicity As A Service,https://flowtrics.com,,,,,,,
opti9,SOC as a Service,https://opti9tech.com/covalence/#soc-as-a-service,,,,,,,
SearchStax,Solr As A Service,https://www.searchstax.com/cloud-search-service/solr/,,,,,,,
ConseSsys,Staking As A Service,https://codefi.consensys.net/blog/tag/Staking+as+a+Service,,,,,,,
Orson,Story As A Service,"https://www.prnewswire.com/news-releases/orson-a-story-as-a-service-startup-raises-3m-to-invest-in-the-science-of-video-storytelling-and-the-humanizing-power-of-generative-ai-301853230.html#:~:text=Orson's%20Story%2Das%2Da%2D,https%3A%2F%2Fheyorson.com%2F.",,,,,,,
Ingenico,Terminal As A Service,https://www.ingenico.com/pos-solutions/,,,,,,,
Enghouse Networks,Tv As A Service,https://www.enghousenetworks.com/portfolio/digital-transformation/tv-as-a-service/,,,,,,,
RingCentral,Video as a Service,https://www.ringcentral.com/gb/en/blog/definitions/video-as-a-service-vaas/,,,,,,,
SmartAction,Virtual Agents As A Service,https://www.smartaction.ai/virtual-agents-for-digital/,,,,,,,
Odine,Virtualization as a Service,https://odine.com/services/virtualization-as-a-service/,,,,,,,
Veritone,Voice As A Service,https://www.veritone.com/applications/marvelai,,,,,,,
Barracuda,Waf As A Service,https://www.barracuda.com/,,,,,,,
Teridion,Wan As A Service,https://www.teridion.com/why-you-are-underutilizing-your-sdwan-and-what-to-do-about-it/,,,,,,,
WSaaS,Webscraping As A Service,https://webscrapingasaservice.com/,,,,,,,
Workhall,Workhall As A Service,https://www.workhall.com/workhall-as-a-service,,,,,,,
Epica,World'S First Prediction As A Service,epica.ai,,,,,,,
Ragie,Rag As A Service,https://www.ragie.ai/,,,,,,,
Marbalism,Mvp As A Service,https://www.marblism.com/,,,,,,,
Eved,Experience Payments As A Service,https://www.eved.com,,,,,,,
Aipix,Video Surveillance As A Service,https://aipix.ai/solutions/video-surveillance-as-a-service,,,,,,,
FlashIntel,Pipeline As A Service,https://www.flashintel.ai/pipeline-as-a-service,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
